iter	TotalF1	MultiClass
60	0.7833814519	-0.6805764413
61	0.7873429317	-0.6735955907
62	0.7885939963	-0.6673652393
63	0.7898065841	-0.6632539917
64	0.7907199735	-0.6588803036
65	0.7905243485	-0.6563099681
66	0.7923290521	-0.653106777
67	0.7941754089	-0.6505905661
68	0.7954191961	-0.6461053025
69	0.7979249326	-0.6401371466
70	0.798982014	-0.637239811
71	0.8002399525	-0.6339869782
72	0.8009200236	-0.6312742947
73	0.8022907693	-0.6266227553
74	0.8025638453	-0.6236148204
75	0.8044514654	-0.6192402689
76	0.8059001472	-0.6165211858
77	0.8071925627	-0.6143272916
78	0.8080090004	-0.6096869464
79	0.808653679	-0.6067669769
80	0.8098887803	-0.6033285438
81	0.810325813	-0.6018090498
82	0.812426738	-0.5977081104
83	0.812635328	-0.5936927512
84	0.8133426834	-0.5914643563
85	0.8137581613	-0.5878197456
86	0.8148050871	-0.5838658609
87	0.816632282	-0.5802279038
88	0.8176749822	-0.5784356281
89	0.8190896853	-0.5744758498
90	0.819435069	-0.5725329693
91	0.8205137802	-0.5704793471
92	0.8207845428	-0.5687545951
93	0.8220131692	-0.5659806001
94	0.8222494976	-0.5646303027
95	0.8225047291	-0.5627014927
96	0.8227301706	-0.5600221501
97	0.8233525279	-0.5582074491
98	0.8251001384	-0.5552736512
99	0.8253844173	-0.5534843561
100	0.8271347974	-0.5502313841
101	0.8278804378	-0.5479160395
102	0.8283354821	-0.5460239746
103	0.8287988435	-0.5436632417
104	0.8295856827	-0.5414844675
105	0.8299871554	-0.5398985748
106	0.8303276002	-0.5376280357
107	0.8307801424	-0.5362816718
108	0.8312904617	-0.5338407895
109	0.8322974038	-0.5318754058
110	0.8329819667	-0.5297886336
111	0.8335417679	-0.527476878
112	0.8339800575	-0.5254890108
113	0.8343160839	-0.5241583379
114	0.8351233854	-0.5222562526
115	0.8374147968	-0.5199509107
116	0.8378689691	-0.5188836502
117	0.838027406	-0.5175545009
118	0.8386711794	-0.5150067465
119	0.8390332305	-0.5139436171
120	0.83996515	-0.5113490771
121	0.8405376036	-0.5091653337
122	0.8410031373	-0.5067405823
123	0.8418768783	-0.5043059355
124	0.8422269337	-0.5024110726
125	0.8428528193	-0.500665645
126	0.8430952236	-0.4995308042
127	0.8433476444	-0.4984006738
128	0.8436928953	-0.4967791218
129	0.844056079	-0.4948269396
130	0.8458659094	-0.4923144916
131	0.8461447367	-0.4910977141
132	0.8465512218	-0.4893744254
133	0.8466351215	-0.4883351056
134	0.8471941477	-0.486697466
135	0.847997755	-0.4849726912
136	0.8485294317	-0.4835428069
137	0.8491004477	-0.4815389625
138	0.8494774975	-0.4801016363
139	0.8497238594	-0.4791642934
140	0.8500094928	-0.4771991702
141	0.8503577023	-0.4763779418
142	0.8506842828	-0.4749629464
143	0.8510168581	-0.4732869632
144	0.8514671568	-0.4720483228
145	0.8518486664	-0.4712349585
146	0.8520676855	-0.4701796909
147	0.8523549038	-0.4685374339
148	0.8525086382	-0.4673305413
149	0.8526891157	-0.4666612187
150	0.8531405511	-0.4648924542
151	0.8535077376	-0.4634063621
152	0.8538991022	-0.4622716784
153	0.854302374	-0.4605699514
154	0.8546099735	-0.4590188428
